name,address_line1,address_line2,address_city,address_state,address_zip,business_name,deserves_line,headline_font,qr_image_url,old_shot_url,new_shot_url,metadata_slug,metadata_qr_code,metadata_trade,metadata_mailable
"Landscape Design Phoenix, Landscaping Ar",2740 E Rose Garden Ln Suite 6,,Phoenix,AZ,85050,Landscape Design Phoenix,deserves a better,64,https://demo.buildlocal.agency/m/qr/az0019.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/landscape-design-phoenix-landscaping-architect-unwind-landsc-new.jpg,landscape-design-phoenix-landscaping-architect-unwind-landsc,az0019,landscaping,yes
Straight Line Landscape,1915 W Adobe Dr D,,Phoenix,AZ,85027,Straight Line Landscape,deserves a better,67,https://demo.buildlocal.agency/m/qr/az0020.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/straight-line-landscape-new.jpg,straight-line-landscape,az0020,landscaping,yes
Goodman's Landscape,2210 W Desert Cove Ave,,Phoenix,AZ,85029,Goodman's Landscape,deserves a better,78,https://demo.buildlocal.agency/m/qr/az0021.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/goodman-s-landscape-maintenance-llc-new.jpg,goodman-s-landscape-maintenance-llc,az0021,landscaping,yes
Az New Leaf Landscaping,3230 W Quail Ave,,Phoenix,AZ,85027,Az New Leaf Landscaping,deserves a better,67,https://demo.buildlocal.agency/m/qr/az0022.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/az-new-leaf-landscaping-new.jpg,az-new-leaf-landscaping,az0022,landscaping,yes
Enchanted Garden Landscape,21602 N 21st Ave,,Phoenix,AZ,85027,Enchanted Garden Landscape,deserves a better,59,https://demo.buildlocal.agency/m/qr/az0025.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/enchanted-garden-landscape-new.jpg,enchanted-garden-landscape,az0025,landscaping,yes
"Phoenix Landscapers, Landscaping Design ",3216 E Sierra St,,Phoenix,AZ,85028,Phoenix Landscapers,deserves a better,78,https://demo.buildlocal.agency/m/qr/az0027.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/phoenix-landscapers-landscaping-design-and-tree-services-new.jpg,phoenix-landscapers-landscaping-design-and-tree-services,az0027,landscaping,yes
Landscaping Contractors,9602 N 16th Ave,,Phoenix,AZ,85021,Landscaping Contractors,deserves a better,67,https://demo.buildlocal.agency/m/qr/az0031.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/landscaping-contractors-new.jpg,landscaping-contractors,az0031,landscaping,yes
Viva Landscape & Design,10000 N 31st Ave Suite C308,,Phoenix,AZ,85051,Viva Landscape & Design,deserves a better,67,https://demo.buildlocal.agency/m/qr/az0032.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/viva-landscape-and-design-new.jpg,viva-landscape-and-design,az0032,landscaping,yes
Paradise Green Landscaping llc,3346 W Monterosa St,,Phoenix,AZ,85017,Paradise Green Landscaping,deserves a,59,https://demo.buildlocal.agency/m/qr/az0033.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/paradise-green-landscaping-llc-new.jpg,paradise-green-landscaping-llc,az0033,landscaping,yes
Ersland Touch Landscape,30 S 41st St,,Phoenix,AZ,85034,Ersland Touch Landscape,deserves a better,67,https://demo.buildlocal.agency/m/qr/az0034.png,https://demo.buildlocal.agency/m/_no-website.jpg,https://demo.buildlocal.agency/m/ersland-touch-landscape-new.jpg,ersland-touch-landscape,az0034,landscaping,yes
