to.name,to.address_line1,to.address_line2,to.address_city,to.address_state,to.address_zip,front_image,back_image,qr_target,metadata_slug,metadata_qr_code,metadata_trade,metadata_mailable
Enchanted Garden Landscape,21602 N 21st Ave,,Phoenix,AZ,85027,https://demo.buildlocal.agency/m/flyers/enchanted-garden-landscape-front.png,https://demo.buildlocal.agency/m/flyers/enchanted-garden-landscape-back.png,https://demo.buildlocal.agency/q/az0025,enchanted-garden-landscape,az0025,landscaping,yes
"Phoenix Landscapers, Landscaping Design ",3216 E Sierra St,,Phoenix,AZ,85028,https://demo.buildlocal.agency/m/flyers/phoenix-landscapers-landscaping-design-and-tree-services-front.png,https://demo.buildlocal.agency/m/flyers/phoenix-landscapers-landscaping-design-and-tree-services-back.png,https://demo.buildlocal.agency/q/az0027,phoenix-landscapers-landscaping-design-and-tree-services,az0027,landscaping,yes
Landscaping Contractors,9602 N 16th Ave,,Phoenix,AZ,85021,https://demo.buildlocal.agency/m/flyers/landscaping-contractors-front.png,https://demo.buildlocal.agency/m/flyers/landscaping-contractors-back.png,https://demo.buildlocal.agency/q/az0031,landscaping-contractors,az0031,landscaping,yes
Viva Landscape & Design,10000 N 31st Ave Suite C308,,Phoenix,AZ,85051,https://demo.buildlocal.agency/m/flyers/viva-landscape-and-design-front.png,https://demo.buildlocal.agency/m/flyers/viva-landscape-and-design-back.png,https://demo.buildlocal.agency/q/az0032,viva-landscape-and-design,az0032,landscaping,yes
Paradise Green Landscaping llc,3346 W Monterosa St,,Phoenix,AZ,85017,https://demo.buildlocal.agency/m/flyers/paradise-green-landscaping-llc-front.png,https://demo.buildlocal.agency/m/flyers/paradise-green-landscaping-llc-back.png,https://demo.buildlocal.agency/q/az0033,paradise-green-landscaping-llc,az0033,landscaping,yes
Ersland Touch Landscape,30 S 41st St,,Phoenix,AZ,85034,https://demo.buildlocal.agency/m/flyers/ersland-touch-landscape-front.png,https://demo.buildlocal.agency/m/flyers/ersland-touch-landscape-back.png,https://demo.buildlocal.agency/q/az0034,ersland-touch-landscape,az0034,landscaping,yes
NexGen Landscaping,4004 S 30th St,,Phoenix,AZ,85040,https://demo.buildlocal.agency/m/flyers/nexgen-landscaping-front.png,https://demo.buildlocal.agency/m/flyers/nexgen-landscaping-back.png,https://demo.buildlocal.agency/q/az0035,nexgen-landscaping,az0035,landscaping,yes
"Desert Crest, LLC",704 W Happy Valley Rd,,Phoenix,AZ,85085,https://demo.buildlocal.agency/m/flyers/desert-crest-llc-front.png,https://demo.buildlocal.agency/m/flyers/desert-crest-llc-back.png,https://demo.buildlocal.agency/q/az0038,desert-crest-llc,az0038,landscaping,yes
"Triple ""J"" Service, LLC.",2145 E Monroe St,,Phoenix,AZ,85034,https://demo.buildlocal.agency/m/flyers/triple-j-service-llc-front.png,https://demo.buildlocal.agency/m/flyers/triple-j-service-llc-back.png,https://demo.buildlocal.agency/q/az0040,triple-j-service-llc,az0040,landscaping,yes
Phoenix Roofing & Repair,301 E Bethany Home Rd A-121,,Phoenix,AZ,85012,https://demo.buildlocal.agency/m/flyers/phoenix-roofing-and-repair-front.png,https://demo.buildlocal.agency/m/flyers/phoenix-roofing-and-repair-back.png,https://demo.buildlocal.agency/q/ro0001,phoenix-roofing-and-repair,ro0001,roofing,yes
Lyons Roofing,878 W Illini St,,Phoenix,AZ,85041,https://demo.buildlocal.agency/m/flyers/lyons-roofing-front.png,https://demo.buildlocal.agency/m/flyers/lyons-roofing-back.png,https://demo.buildlocal.agency/q/ro0002,lyons-roofing,ro0002,roofing,yes
Stonecreek Roofing,10221 N 32nd St ste a,,Phoenix,AZ,85028,https://demo.buildlocal.agency/m/flyers/stonecreek-roofing-front.png,https://demo.buildlocal.agency/m/flyers/stonecreek-roofing-back.png,https://demo.buildlocal.agency/q/ro0003,stonecreek-roofing,ro0003,roofing,yes
Arizona Roofing and Restoration,6531 N 10th Pl,,Phoenix,AZ,85014,https://demo.buildlocal.agency/m/flyers/arizona-roofing-and-restoration-front.png,https://demo.buildlocal.agency/m/flyers/arizona-roofing-and-restoration-back.png,https://demo.buildlocal.agency/q/ro0004,arizona-roofing-and-restoration,ro0004,roofing,yes
Arizona Roofers,4836 E McDowell Rd C100,,Phoenix,AZ,85008,https://demo.buildlocal.agency/m/flyers/arizona-roofers-front.png,https://demo.buildlocal.agency/m/flyers/arizona-roofers-back.png,https://demo.buildlocal.agency/q/ro0005,arizona-roofers,ro0005,roofing,yes
Phoenix Roofers by Allstate Roofing Cont,2955 W Clarendon Ave,,Phoenix,AZ,85017,https://demo.buildlocal.agency/m/flyers/phoenix-roofers-by-allstate-roofing-contractors-front.png,https://demo.buildlocal.agency/m/flyers/phoenix-roofers-by-allstate-roofing-contractors-back.png,https://demo.buildlocal.agency/q/ro0006,phoenix-roofers-by-allstate-roofing-contractors,ro0006,roofing,yes
RENCO Roofing,2210 W Shangri La Rd a1,,Phoenix,AZ,85029,https://demo.buildlocal.agency/m/flyers/renco-roofing-front.png,https://demo.buildlocal.agency/m/flyers/renco-roofing-back.png,https://demo.buildlocal.agency/q/ro0007,renco-roofing,ro0007,roofing,yes
Brown Roofing LLC,11627 N 17th Pl,,Phoenix,AZ,85020,https://demo.buildlocal.agency/m/flyers/brown-roofing-llc-front.png,https://demo.buildlocal.agency/m/flyers/brown-roofing-llc-back.png,https://demo.buildlocal.agency/q/ro0008,brown-roofing-llc,ro0008,roofing,yes
Reimagine Roofing,1100 E Washington St #200,,Phoenix,AZ,85034,https://demo.buildlocal.agency/m/flyers/reimagine-roofing-front.png,https://demo.buildlocal.agency/m/flyers/reimagine-roofing-back.png,https://demo.buildlocal.agency/q/ro0009,reimagine-roofing,ro0009,roofing,yes
Phoenix Roofing Replacement Pros,1517 W Grant St,,Phoenix,AZ,85007,https://demo.buildlocal.agency/m/flyers/phoenix-roofing-replacement-pros-front.png,https://demo.buildlocal.agency/m/flyers/phoenix-roofing-replacement-pros-back.png,https://demo.buildlocal.agency/q/ro0010,phoenix-roofing-replacement-pros,ro0010,roofing,yes
Reyes Roofing LLC,2733 W Maryland Ave,,Phoenix,AZ,85017,https://demo.buildlocal.agency/m/flyers/reyes-roofing-llc-front.png,https://demo.buildlocal.agency/m/flyers/reyes-roofing-llc-back.png,https://demo.buildlocal.agency/q/ro0011,reyes-roofing-llc,ro0011,roofing,yes
Valley Roofing and Repair,4010 N 27th Ave Building C,,Phoenix,AZ,85017,https://demo.buildlocal.agency/m/flyers/valley-roofing-and-repair-front.png,https://demo.buildlocal.agency/m/flyers/valley-roofing-and-repair-back.png,https://demo.buildlocal.agency/q/ro0012,valley-roofing-and-repair,ro0012,roofing,yes
Arizona Sky Roofing Consultants - Roofin,2954 E Gable Cir,,Mesa,AZ,85204,https://demo.buildlocal.agency/m/flyers/arizona-sky-roofing-consultants-roofing-contractor-and-roof--front.png,https://demo.buildlocal.agency/m/flyers/arizona-sky-roofing-consultants-roofing-contractor-and-roof--back.png,https://demo.buildlocal.agency/q/ro0013,arizona-sky-roofing-consultants-roofing-contractor-and-roof-,ro0013,roofing,yes
