to.name,to.address_line1,to.address_line2,to.address_city,to.address_state,to.address_zip,business_name,deserves_line,headline_font,qr_image_url,old_shot_url,new_shot_url,slug,qr_code,qr_target
Desert Pointe Landscape,,,Surprise,AZ,,Desert Pointe Landscape,deserves a better,67,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0335,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/desert-pointe-landscape-new.jpg,desert-pointe-landscape,az0335,https://buildlocal.agency/q/az0335
Salazar Landscaping And Gardening LLC,,,Surprise,AZ,,Salazar Landscaping,deserves a,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0336,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/salazar-landscaping-and-gardening-llc-new.jpg,salazar-landscaping-and-gardening-llc,az0336,https://buildlocal.agency/q/az0336
Ewing Outdoor Supply,,,Surprise,AZ,,Ewing Outdoor Supply,deserves a better,77,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0337,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/ewing-outdoor-supply-surprise-new.jpg,ewing-outdoor-supply-surprise,az0337,https://buildlocal.agency/q/az0337
California Pools & Landscape - Surprise,,,Surprise,AZ,,California Pools & Landscape,deserves a better,55,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0338,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/california-pools-and-landscape-surprise-new.jpg,california-pools-and-landscape-surprise,az0338,https://buildlocal.agency/q/az0338
Sonora Sprinkler Inc.,,,Surprise,AZ,,Sonora Sprinkler,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0339,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/sonora-sprinkler-inc-new.jpg,sonora-sprinkler-inc,az0339,https://buildlocal.agency/q/az0339
CareScape,,,Surprise,AZ,,CareScape,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0340,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/carescape-new.jpg,carescape,az0340,https://buildlocal.agency/q/az0340
Landscaper - Allscapes Installation Services Inc.,,,Surprise,AZ,,Landscaper,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0341,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/landscaper-allscapes-installation-services-inc-new.jpg,landscaper-allscapes-installation-services-inc,az0341,https://buildlocal.agency/q/az0341
Ya Benitez Landscaping & Hardscape,,,Goodyear,AZ,,Ya Benitez Landscaping,deserves a better,70,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0342,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/ya-benitez-landscaping-and-hardscape-new.jpg,ya-benitez-landscaping-and-hardscape,az0342,https://buildlocal.agency/q/az0342
Vivid Outdoors,,,Goodyear,AZ,,Vivid Outdoors,deserves a better,78,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0343,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/vivid-outdoors-new.jpg,vivid-outdoors,az0343,https://buildlocal.agency/q/az0343
Urban Landscape Solutions LLC.,,,Avondale,AZ,,Urban Landscape Solutions,deserves a,62,https://api.qrserver.com/v1/create-qr-code/?size=1000x1000&margin=0&qzone=1&ecc=M&data=https%3A%2F%2Fbuildlocal.agency%2Fq%2Faz0344,https://buildlocal.agency/m/_no-website.jpg,https://buildlocal.agency/m/urban-landscape-solutions-llc-new.jpg,urban-landscape-solutions-llc,az0344,https://buildlocal.agency/q/az0344
